game,category,game+category,time(seconds),released_year,nb_of_runs,main_platform,main_genre,engine,developer,publisher,nb_of_platforms,nb_of_genres
Gunstar Super Heroes,Hard Blue,Gunstar Super Heroes - Hard Blue,1357,2005,1,Game Boy Advance,,,,,1,
Mega Man 6,Any%,Mega Man 6 - Any%,2048,1993,8,Nintendo Entertainment System,,,,,5,
Mega Man 6,100%,Mega Man 6 - 100%,2219,1993,1,Nintendo Entertainment System,,,,,5,
Metal Slug Advance,Any% Normal,Metal Slug Advance - Any% Normal,739,2004,5,Game Boy Advance,,,,,1,
Power Blade,Any% Normal,Power Blade - Any% Normal,1039,1991,34,Nintendo Entertainment System,Action,,Natsume/Taito,Taito,1,2
Power Blade,Any% Expert,Power Blade - Any% Expert,1057,1991,3,Nintendo Entertainment System,Action,,Natsume/Taito,Taito,1,2
Power Blade,Glitchless,Power Blade - Glitchless,1219,1991,5,Nintendo Entertainment System,Action,,Natsume/Taito,Taito,1,2
Shaman King : Master of Spirits,Any%,Shaman King : Master of Spirits - Any%,7199,2004,1,,,,,,,
Ranger X,Heavy,Ranger X - Heavy,743,1993,3,Sega Genesis,,,,,1,
Ranger X,Easy,Ranger X - Easy,691,1993,6,Sega Genesis,,,,,1,
Secret of Mana,Any% 1P2C (No Multitap),Secret of Mana - Any% 1P2C (No Multitap),6009,1993,19,Super Nintendo,RPG,,Squaresoft,,4,3
Secret of Mana,Any% 1P2C (Multitap),Secret of Mana - Any% 1P2C (Multitap),6447,1993,2,Super Nintendo,RPG,,Squaresoft,,4,3
Secret of Mana,Any% 1 Controller,Secret of Mana - Any% 1 Controller,8800,1993,3,Super Nintendo,RPG,,Squaresoft,,4,3
Secret of Mana,Magic%,Secret of Mana - Magic%,492,1993,3,Super Nintendo,RPG,,Squaresoft,,4,3
Secret of Mana,Any% Co-Op,Secret of Mana - Any% Co-Op,6359,1993,6,Super Nintendo,RPG,,Squaresoft,,4,3
Secret of Mana,"Any% ""Glitchless""","Secret of Mana - Any% ""Glitchless""",13176,1993,8,Super Nintendo,RPG,,Squaresoft,,4,3
Alien Soldier,Superhard,Alien Soldier - Superhard,1253,1995,7,Wii Virtual Console,Run and Gun,,Treasure,SEGA,4,2
Alien Soldier,Supereasy,Alien Soldier - Supereasy,1269,1995,7,Wii Virtual Console,Run and Gun,,Treasure,SEGA,4,2
Plok,Any%,Plok - Any%,1761,1993,11,Super Nintendo,,,,,1,
Plok,Any% Warpless,Plok - Any% Warpless,2762,1993,1,Super Nintendo,,,,,1,
Plok,All stages,Plok - All stages,3163,1993,1,Super Nintendo,,,,,1,
The Conduit,Any%,The Conduit - Any%,3614,2009,3,Wii,,,,,1,
Prince of Persia: The Sands of Time,Any%,Prince of Persia: The Sands of Time - Any%,2073,2003,42,GameCube,Action-adventure,Jade,Ubisoft Montreal,Ubisoft,7,2
Prince of Persia: The Sands of Time,All Collectibles,Prince of Persia: The Sands of Time - All Collectibles,3585,2003,7,GameCube,Action-adventure,Jade,Ubisoft Montreal,Ubisoft,7,2
Super Monkey Ball: Touch & Roll,All Worlds,Super Monkey Ball: Touch & Roll - All Worlds,1977,2005,6,Nintendo DS,,,,,1,
Super Monkey Ball: Touch & Roll,Main Worlds,Super Monkey Ball: Touch & Roll - Main Worlds,1225,2005,4,Nintendo DS,,,,,1,
Super Monkey Ball: Touch & Roll,Extra Worlds,Super Monkey Ball: Touch & Roll - Extra Worlds,665,2005,3,Nintendo DS,,,,,1,
Super Scribblenauts,Any%,Super Scribblenauts - Any%,2148,2010,4,Nintendo DS,,,,,3,
Super Scribblenauts,100%,Super Scribblenauts - 100%,4589,2010,2,Nintendo DS,,,,,3,
Dragon Warrior II,Dragon Warrior II (NES),Dragon Warrior II - Dragon Warrior II (NES),8824,1987,11,Nintendo Entertainment System,JRPG,,Chunsoft,Enix,1,1
Dragon Warrior II,Dragon Quest II (FC),Dragon Warrior II - Dragon Quest II (FC),3999,1987,2,Nintendo Entertainment System,JRPG,,Chunsoft,Enix,1,1
Biker Mice from Mars (2006),Any%,Biker Mice from Mars (2006) - Any%,6559,2006,1,PlayStation 2,,,,,1,
The Battle of Olympus,Any%,The Battle of Olympus - Any%,1649,1989,2,Nintendo Entertainment System,,,,,2,
The Battle of Olympus,100%,The Battle of Olympus - 100%,3547,1989,3,Nintendo Entertainment System,,,,,2,
Darkwing Duck (GB),Any%,Darkwing Duck (GB) - Any%,837,1993,12,Super Game Boy,,,,,5,
Umihara Kawase,Any%,Umihara Kawase - Any%,87,1994,32,Super Nintendo,Platformer,,TNN/NHK SC,TNN,5,4
Umihara Kawase,Longest Path,Umihara Kawase - Longest Path,662.33,1994,10,Super Nintendo,Platformer,,TNN/NHK SC,TNN,5,4
Super Mario Land,Any%,Super Mario Land - Any%,744.467,1989,135,Nintendo 3DS Virtual Console,,,,,2,
Super Mario Land,Normal + Hard Mode,Super Mario Land - Normal + Hard Mode,1639,1989,13,Nintendo 3DS Virtual Console,,,,,2,
Mega Man X3,Any%,Mega Man X3 - Any%,2365,1995,74,Super Nintendo,Capcom,,Capcom,Capcom,3,1
Mega Man X3,100%,Mega Man X3 - 100%,2657,1995,80,Super Nintendo,Capcom,,Capcom,Capcom,3,1
Mega Man X3,Low%,Mega Man X3 - Low%,2491,1995,13,Super Nintendo,Capcom,,Capcom,Capcom,3,1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Any%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Any%,2790,1996,162,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,103%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - 103%,6609,1996,57,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Warpless,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Warpless,3204,1996,35,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Beat Krematoa,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Beat Krematoa,903,1996,47,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Spider-Man 3,Any%,Spider-Man 3 - Any%,6882,2007,3,PlayStation 3,,,,,3,
Spider-Man 3,All Missions,Spider-Man 3 - All Missions,8956,2007,3,PlayStation 3,,,,,3,
The Revenge of Shinobi,Any%,The Revenge of Shinobi - Any%,753.52,1989,17,Wii Virtual Console,,,,,5,
Suikoden II,Any%,Suikoden II - Any%,20622,1998,8,PlayStation,,,,,7,
Suikoden II,100% (108 Star),Suikoden II - 100% (108 Star),25357,1998,3,PlayStation,,,,,7,
Suikoden II,Save corruption,Suikoden II - Save corruption,650,1998,1,PlayStation,,,,,7,
The Blues Brothers (GB),Any%,The Blues Brothers (GB) - Any%,359,1994,1,Game Boy Player,,,,,2,
Metal Gear Solid: VR Missions,Time Attack,Metal Gear Solid: VR Missions - Time Attack,6466,1999,1,PlayStation 2,Action-adventure,,Konami Computer Entertainment Japan,Konami,6,4
Metal Gear Solid: VR Missions,100%,Metal Gear Solid: VR Missions - 100%,9051,1999,1,PlayStation 2,Action-adventure,,Konami Computer Entertainment Japan,Konami,6,4
Crazy Taxi,Crazy Box NG,Crazy Taxi - Crazy Box NG,822,2000,18,GameCube,,,,,11,
Crazy Taxi,Crazy Box NG+,Crazy Taxi - Crazy Box NG+,794,2000,3,GameCube,,,,,11,
Crash Bandicoot,Any%,Crash Bandicoot - Any%,2392,1996,174,PlayStation 2,,,Naughty Dog,,6,
Crash Bandicoot,100%,Crash Bandicoot - 100%,3748,1996,72,PlayStation 2,,,Naughty Dog,,6,
Contra: The Alien Wars,Normal,Contra: The Alien Wars - Normal,516,1994,8,Super Game Boy,Action,,Factor 5,Konami,3,1
Contra: The Alien Wars,Hard,Contra: The Alien Wars - Hard,640,1994,2,Super Game Boy,Action,,Factor 5,Konami,3,1
Contra: The Alien Wars,Maniac,Contra: The Alien Wars - Maniac,547,1994,2,Super Game Boy,Action,,Factor 5,Konami,3,1
Contra: The Alien Wars,Easy,Contra: The Alien Wars - Easy,370,1994,6,Super Game Boy,Action,,Factor 5,Konami,3,1
Soul Blazer,Any% (U),Soul Blazer - Any% (U),5643,1992,21,Super Nintendo,Action RPG,,Quintet,Enix,1,1
Soul Blazer,Any% (J),Soul Blazer - Any% (J),5169,1992,7,Super Nintendo,Action RPG,,Quintet,Enix,1,1
Soul Blazer,100% (U),Soul Blazer - 100% (U),10072,1992,3,Super Nintendo,Action RPG,,Quintet,Enix,1,1
Soul Blazer,100% (J),Soul Blazer - 100% (J),9252,1992,2,Super Nintendo,Action RPG,,Quintet,Enix,1,1
Tony Hawk's Pro Skater 3,Any%,Tony Hawk's Pro Skater 3 - Any%,222,2001,45,Nintendo 64,Skateboarding,,Neversoft,Activision,8,2
Tony Hawk's Pro Skater 3,All Goals & Golds,Tony Hawk's Pro Skater 3 - All Goals & Golds,393,2001,29,Nintendo 64,Skateboarding,,Neversoft,Activision,8,2
Mario & Luigi: Partners in Time,Any%,Mario & Luigi: Partners in Time - Any%,9403,2005,10,Nintendo DS,,,,,3,
Mario & Luigi: Partners in Time,All Bosses,Mario & Luigi: Partners in Time - All Bosses,13135,2005,3,Nintendo DS,,,,,3,
Metal Slug Advance,Any% Normal,Metal Slug Advance - Any% Normal,739,2004,5,Game Boy Advance,,,,,1,
Sonic Advance,Sonic,Sonic Advance - Sonic,979,2001,9,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Tails,Sonic Advance - Tails,871,2001,6,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Knuckles,Sonic Advance - Knuckles,945,2001,5,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Amy,Sonic Advance - Amy,970,2001,8,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Best Ending,Sonic Advance - Best Ending,5056,2001,1,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Aero the Acro-Bat 2,Any%,Aero the Acro-Bat 2 - Any%,1689,1994,3,Super Nintendo,,,Iguana,Sunsoft,3,
Aero the Acro-Bat 2,All Levels,Aero the Acro-Bat 2 - All Levels,2345,1994,1,Super Nintendo,,,Iguana,Sunsoft,3,
Batman Begins,Any% All Console,Batman Begins - Any% All Console,8283,2005,2,GameCube,,,,EA,3,
Batman Begins,Any% Xbox,Batman Begins - Any% Xbox,8813,2005,1,GameCube,,,,EA,3,
Batman Begins,Any% PS2,Batman Begins - Any% PS2,8877,2005,1,GameCube,,,,EA,3,
Batman Begins,Any% GCN,Batman Begins - Any% GCN,8877,2005,0,GameCube,,,,EA,3,
Batman Begins,Any% Normal,Batman Begins - Any% Normal,8689,2005,2,GameCube,,,,EA,3,
Batman Begins,Any% Normal Xbox,Batman Begins - Any% Normal Xbox,9470,2005,1,GameCube,,,,EA,3,
Batman Begins,Any% Normal PS2,Batman Begins - Any% Normal PS2,8689,2005,1,GameCube,,,,EA,3,
Batman Begins,Any% Normal GCN,Batman Begins - Any% Normal GCN,8689,2005,0,GameCube,,,,EA,3,
Batman Begins,Training,Batman Begins - Training,795,2005,1,GameCube,,,,EA,3,
Newer Super Mario Bros. DS,Any%,Newer Super Mario Bros. DS - Any%,1662,2017,12,Nintendo DS,Platformer,,Skawo,Skawo,3,1
Newer Super Mario Bros. DS,Cannonless,Newer Super Mario Bros. DS - Cannonless,4064,2017,3,Nintendo DS,Platformer,,Skawo,Skawo,3,1
Newer Super Mario Bros. DS,100%,Newer Super Mario Bros. DS - 100%,11584,2017,2,Nintendo DS,Platformer,,Skawo,Skawo,3,1
Mega Man X4,Zero 100%,Mega Man X4 - Zero 100%,2526,1997,73,GameCube,Platformer,,Capcom,Capcom,6,1
Mega Man X4,X 100%,Mega Man X4 - X 100%,2672,1997,35,GameCube,Platformer,,Capcom,Capcom,6,1
Mega Man X4,Zero Any%,Mega Man X4 - Zero Any%,2522,1997,7,GameCube,Platformer,,Capcom,Capcom,6,1
Mega Man X4,X Any%,Mega Man X4 - X Any%,3141,1997,3,GameCube,Platformer,,Capcom,Capcom,6,1
Mega Man X4,X Low%,Mega Man X4 - X Low%,3213,1997,2,GameCube,Platformer,,Capcom,Capcom,6,1
Super Turrican 2,Any%,Super Turrican 2 - Any%,2131,1995,1,Super Nintendo,Side-scrolling,,Factor 5,Ocean Software,1,1
Sonic Advance,Sonic,Sonic Advance - Sonic,979,2001,9,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Tails,Sonic Advance - Tails,871,2001,6,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Knuckles,Sonic Advance - Knuckles,945,2001,5,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Amy,Sonic Advance - Amy,970,2001,8,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Best Ending,Sonic Advance - Best Ending,5056,2001,1,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Zelda II: The Adventure of Link,"100% All Keys, 1CC","Zelda II: The Adventure of Link - 100% All Keys, 1CC",442655,1987,182,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% Deathless,Zelda II: The Adventure of Link - Any% Deathless,345659,1987,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,100% Deathless,Zelda II: The Adventure of Link - 100% Deathless,4006,1987,10,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% NMG,Zelda II: The Adventure of Link - Any% NMG,2940.316,1987,26,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,100% NMG,Zelda II: The Adventure of Link - 100% NMG,3716.341,1987,38,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any%,Zelda II: The Adventure of Link - Any%,998,1987,24,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,100%,Zelda II: The Adventure of Link - 100%,3091.316,1987,15,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,New Game+,Zelda II: The Adventure of Link - New Game+,569.3,1987,16,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,New Game+ NMG,Zelda II: The Adventure of Link - New Game+ NMG,2112.767,1987,43,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% No Door Fairying,Zelda II: The Adventure of Link - Any% No Door Fairying,4000.379,1987,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% No Scroll Lock,Zelda II: The Adventure of Link - Any% No Scroll Lock,2495.75,1987,9,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Reverse Boss Order,Zelda II: The Adventure of Link - Reverse Boss Order,2849.6,1987,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Virtual Boy Wario Land,Any%,Virtual Boy Wario Land - Any%,0,1995,7,Virtual Boy,,,,,1,
Virtual Boy Wario Land,100%,Virtual Boy Wario Land - 100%,0,1995,3,Virtual Boy,,,,,1,
Super Mario RPG: Legend of the Seven Stars,Any%,Super Mario RPG: Legend of the Seven Stars - Any%,9973,1996,101,Super Nintendo,,,,,4,
Super Mario RPG: Legend of the Seven Stars,Low Level,Super Mario RPG: Legend of the Seven Stars - Low Level,31942,1996,7,Super Nintendo,,,,,4,
Super Mario RPG: Legend of the Seven Stars,Beat Culex,Super Mario RPG: Legend of the Seven Stars - Beat Culex,5769,1996,8,Super Nintendo,,,,,4,
Metroid Fusion,Any%,Metroid Fusion - Any%,4276,2002,262,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,3,1
Metroid Fusion,100%,Metroid Fusion - 100%,5754,2002,82,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,3,1
Metroid Fusion,0%,Metroid Fusion - 0%,4654,2002,5,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,3,1
Metroid Fusion,Any% Memory Corruption,Metroid Fusion - Any% Memory Corruption,2960,2002,16,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,3,1
Metroid Fusion,1%,Metroid Fusion - 1%,4460,2002,9,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,3,1
Osman,1CC,Osman - 1CC,540,1996,2,Arcade,,,,,1,
Sonic Advance 2,Sonic,Sonic Advance 2 - Sonic,1430,2002,7,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Sonic Advance 2,Tails,Sonic Advance 2 - Tails,1872,2002,3,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Sonic Advance 2,Knuckles,Sonic Advance 2 - Knuckles,1736,2002,2,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Sonic Advance 2,Cream,Sonic Advance 2 - Cream,1587,2002,11,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Sonic Advance 2,Amy,Sonic Advance 2 - Amy,1919,2002,2,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Sonic Advance 2,Best Ending,Sonic Advance 2 - Best Ending,8832,2002,1,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Bonk's Adventure (GB),Any%,Bonk's Adventure (GB) - Any%,997,1992,13,Super Game Boy,,,,,4,
Kirby: Canvas Curse,Any%,Kirby: Canvas Curse - Any%,3372,2005,18,Nintendo DS,,,,,4,
Kirby: Canvas Curse,100%,Kirby: Canvas Curse - 100%,20708,2005,1,Nintendo DS,,,,,4,
Vandal Hearts,Any% w/o Level Exploit,Vandal Hearts - Any% w/o Level Exploit,23877,1997,3,Sega Saturn,,,,,4,
M.C. Kids,(NES) Any%,M.C. Kids - (NES) Any%,1176.733,1992,14,Nintendo Entertainment System,,,,,5,
M.C. Kids,(NES) 100%,M.C. Kids - (NES) 100%,1724,1992,5,Nintendo Entertainment System,,,,,5,
Shinobi III: Return of the Ninja Master,Expert,Shinobi III: Return of the Ninja Master - Expert,1458,1993,12,Sega Genesis,Action,,Megasoft,SEGA,4,1
Shinobi III: Return of the Ninja Master,Normal,Shinobi III: Return of the Ninja Master - Normal,1613,1993,15,Sega Genesis,Action,,Megasoft,SEGA,4,1
Shinobi III: Return of the Ninja Master,Expert - Kunai-less,Shinobi III: Return of the Ninja Master - Expert - Kunai-less,1510,1993,5,Sega Genesis,Action,,Megasoft,SEGA,4,1
Shinobi III: Return of the Ninja Master,Normal - Kunai-less,Shinobi III: Return of the Ninja Master - Normal - Kunai-less,1708,1993,4,Sega Genesis,Action,,Megasoft,SEGA,4,1
Castlevania: Circle of the Moon,All Bosses,Castlevania: Circle of the Moon - All Bosses,1514,2001,12,Game Boy Advance,,,,,2,
Castlevania: Circle of the Moon,Any%,Castlevania: Circle of the Moon - Any%,232,2001,7,Game Boy Advance,,,,,2,
Castlevania: Circle of the Moon,Completionist,Castlevania: Circle of the Moon - Completionist,5141,2001,2,Game Boy Advance,,,,,2,
The Lion King 5,Any%,The Lion King 5 - Any%,375,1998,2,Nintendo Entertainment System,,,,,1,
QuackShot Starring Donald Duck,Any%,QuackShot Starring Donald Duck - Any%,1428,1991,36,Sega Genesis,Platformer,,SEGA,SEGA,2,2
Ultimate Mortal Kombat 3,Arcade,Ultimate Mortal Kombat 3 - Arcade,179,1995,37,Super Nintendo,Fighting,,Midway Games,Midway Games,14,2
Ultimate Mortal Kombat 3,SNES,Ultimate Mortal Kombat 3 - SNES,350,1995,13,Super Nintendo,Fighting,,Midway Games,Midway Games,14,2
Ultimate Mortal Kombat 3,Genesis,Ultimate Mortal Kombat 3 - Genesis,443,1995,18,Super Nintendo,Fighting,,Midway Games,Midway Games,14,2
Sonic Advance,Sonic,Sonic Advance - Sonic,979,2001,9,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Tails,Sonic Advance - Tails,871,2001,6,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Knuckles,Sonic Advance - Knuckles,945,2001,5,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Amy,Sonic Advance - Amy,970,2001,8,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Best Ending,Sonic Advance - Best Ending,5056,2001,1,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
DK: King of Swing,Any%,DK: King of Swing - Any%,1133,2005,8,Game Boy Advance,,,,,2,
DK: King of Swing,100%,DK: King of Swing - 100%,1289,2005,3,Game Boy Advance,,,,,2,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Any%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Any%,2790,1996,162,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,103%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - 103%,6609,1996,57,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Warpless,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Warpless,3204,1996,35,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Beat Krematoa,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Beat Krematoa,903,1996,47,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Castlevania: Harmony of Dissonance,Maxim Any%,Castlevania: Harmony of Dissonance - Maxim Any%,29.36,2002,55,Game Boy Advance,Metroidvania,,Konami,,2,1
Castlevania: Harmony of Dissonance,Maxim All Bosses,Castlevania: Harmony of Dissonance - Maxim All Bosses,593,2002,15,Game Boy Advance,Metroidvania,,Konami,,2,1
Castlevania: Harmony of Dissonance,Maxim No OOB,Castlevania: Harmony of Dissonance - Maxim No OOB,1252,2002,2,Game Boy Advance,Metroidvania,,Konami,,2,1
Castlevania: Harmony of Dissonance,Juste Any%,Castlevania: Harmony of Dissonance - Juste Any%,571,2002,7,Game Boy Advance,Metroidvania,,Konami,,2,1
Mario vs. Donkey Kong,Any%,Mario vs. Donkey Kong - Any%,2557,2004,23,Game Boy Advance,,,,,4,
Mario vs. Donkey Kong,Any%+,Mario vs. Donkey Kong - Any%+,4385,2004,5,Game Boy Advance,,,,,4,
Mario vs. Donkey Kong,Plus%,Mario vs. Donkey Kong - Plus%,1730,2004,1,Game Boy Advance,,,,,4,
Mario vs. Donkey Kong,100%,Mario vs. Donkey Kong - 100%,6623,2004,3,Game Boy Advance,,,,,4,
Castlevania: Symphony of the Night,Alucard,Castlevania: Symphony of the Night - Alucard,619,1997,175,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Castlevania: Symphony of the Night,Richter,Castlevania: Symphony of the Night - Richter,308.166,1997,26,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Castlevania: Symphony of the Night,Maria,Castlevania: Symphony of the Night - Maria,360.985,1997,34,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Sonic Advance 3,Beat the game,Sonic Advance 3 - Beat the game,2430,2004,8,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Sonic Advance 3,Best Ending,Sonic Advance 3 - Best Ending,4698,2004,3,Game Boy Advance,Action,,Sonic Team,SEGA,2,1
Vectorman 2,Cool,Vectorman 2 - Cool,616,1996,6,GameCube,Action,,BlueSky Software,SEGA,10,2
Vectorman 2,Wicked,Vectorman 2 - Wicked,670,1996,1,GameCube,Action,,BlueSky Software,SEGA,10,2
Vectorman 2,Lame,Vectorman 2 - Lame,593,1996,3,GameCube,Action,,BlueSky Software,SEGA,10,2
Rosenkreuzstilette,Any%,Rosenkreuzstilette - Any%,1729.48,2007,37,PC,,,[erka:es],,1,
Sonic 3 & Knuckles,Sonic,Sonic 3 & Knuckles - Sonic,1797,1994,41,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Tails,Sonic 3 & Knuckles - Tails,1833,1994,15,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Knuckles,Sonic 3 & Knuckles - Knuckles,1421,1994,19,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Co-op/1p2c,Sonic 3 & Knuckles - Co-op/1p2c,1937,1994,5,GameCube,Action,,Sonic Team,SEGA,10,1
A Nightmare on Elm Street,Any%,A Nightmare on Elm Street - Any%,958,1990,20,Nintendo Entertainment System,Platformer,,Rare,LJN,1,1
A Nightmare on Elm Street,Any% CO-OP,A Nightmare on Elm Street - Any% CO-OP,1308,1990,5,Nintendo Entertainment System,Platformer,,Rare,LJN,1,1
Mega Man X5,All Stages,Mega Man X5 - All Stages,3073,2000,35,GameCube,,,,,5,
Mega Man X5,Any%,Mega Man X5 - Any%,1243,2000,11,GameCube,,,,,5,
Contra 4,Any% Easy,Contra 4 - Any% Easy,1078,2007,3,Nintendo DS,Run and Gun,,Wayforward,Konami,1,1
Contra 4,Any% Normal,Contra 4 - Any% Normal,1477,2007,2,Nintendo DS,Run and Gun,,Wayforward,Konami,1,1
Contra 4,Any% Hard,Contra 4 - Any% Hard,1455,2007,2,Nintendo DS,Run and Gun,,Wayforward,Konami,1,1
Who Framed Roger Rabbit (GB),Beat The Game,Who Framed Roger Rabbit (GB) - Beat The Game,978,1991,5,Super Game Boy,,,,,4,
Castlevania Chronicles,Original mode,Castlevania Chronicles - Original mode,1691,2001,4,PlayStation 2,Platformer,,,Konami,6,1
Castlevania Chronicles,Arranged mode,Castlevania Chronicles - Arranged mode,1582,2001,11,PlayStation 2,Platformer,,,Konami,6,1
Kabuki Quantum Fighter,Any%,Kabuki Quantum Fighter - Any%,589,1990,41,Nintendo Entertainment System,,,,,1,
Star Fox 2 Beta,Normal,Star Fox 2 Beta - Normal,608,1995,14,Super Nintendo,Shooter,,Argonaut Software,Nintendo,1,1
Star Fox 2 Beta,Hard,Star Fox 2 Beta - Hard,1123,1995,4,Super Nintendo,Shooter,,Argonaut Software,Nintendo,1,1
Star Fox 2 Beta,Expert,Star Fox 2 Beta - Expert,1723,1995,2,Super Nintendo,Shooter,,Argonaut Software,Nintendo,1,1
Star Fox 2 Beta,All Difficulties,Star Fox 2 Beta - All Difficulties,4773,1995,1,Super Nintendo,Shooter,,Argonaut Software,Nintendo,1,1
Dynamite Headdy,Any%,Dynamite Headdy - Any%,2253,1994,19,Wii Virtual Console,Platformer,,Treasure,SEGA,10,1
Dynamite Headdy,Any% JP,Dynamite Headdy - Any% JP,2262,1994,10,Wii Virtual Console,Platformer,,Treasure,SEGA,10,1
Dynamite Headdy,"All SBPs, Best Ending","Dynamite Headdy - All SBPs, Best Ending",5109,1994,3,Wii Virtual Console,Platformer,,Treasure,SEGA,10,1
Dynamite Headdy,All SBPs,Dynamite Headdy - All SBPs,3074,1994,3,Wii Virtual Console,Platformer,,Treasure,SEGA,10,1
Dynamite Headdy,Best Ending,Dynamite Headdy - Best Ending,4244,1994,2,Wii Virtual Console,Platformer,,Treasure,SEGA,10,1
Zombies Ate My Neighbors,Any%,Zombies Ate My Neighbors - Any%,1894,1993,18,Super Nintendo,Shoot 'em up,,LucasArts,Konami,3,1
Zombies Ate My Neighbors,100%,Zombies Ate My Neighbors - 100%,4700,1993,2,Super Nintendo,Shoot 'em up,,LucasArts,Konami,3,1
Zoda's Revenge: StarTropics II,Any%,Zoda's Revenge: StarTropics II - Any%,3563,1994,12,Nintendo Entertainment System,,,,,3,
