game,category,game+category,TAS_time(seconds)
Magic Knight Rayearth,Any%,Magic Knight Rayearth - Any%,802.0
Samurai Shodown II,Any%,Samurai Shodown II - Any%,696.43
Duke Nukem II,Episode 2,Duke Nukem II - Episode 2,387.46
Kiteretsu Daihyakka,Any%,Kiteretsu Daihyakka - Any%,615.0
Super Arabian,Any%,Super Arabian - Any%,107.86
Formation Z,Any%,Formation Z - Any%,111.9
Super Mario Sunshine,Any%,Super Mario Sunshine - Any%,4112.58
Night Stalker,Any%,Night Stalker - Any%,189.62
Super Mario Bros.,warpless,Super Mario Bros. - warpless,1116.78
Super C,2 players,Super C - 2 players,685.49
Chester Cheetah: Too Cool to Fool,Any%,Chester Cheetah: Too Cool to Fool - Any%,665.85
Super Bat Puncher,Any%,Super Bat Puncher - Any%,593.34
Wendy: Every Witch Way,Advance World!,Wendy: Every Witch Way - Advance World!,281.5
Bugs Bunny & Taz: Time Busters,Any%,Bugs Bunny & Taz: Time Busters - Any%,273.66
Klonoa: Door to Phantomile,Any%,Klonoa: Door to Phantomile - Any%,2109.14
Sonic the Hedgehog Megamix,Any%,Sonic the Hedgehog Megamix - Any%,832.91
Spy Hunter,Any%,Spy Hunter - Any%,356.86
Disney's Toy Story,Any%,Disney's Toy Story - Any%,1224.51
A-mazing Tater,Puzzle Mode,A-mazing Tater - Puzzle Mode,1042.0
Magical Taruruuto-Kun,Any%,Magical Taruruuto-Kun - Any%,912.22
Duke Nukem II,Episode 1,Duke Nukem II - Episode 1,330.07
Conquest of the Crystal Palace,Any%,Conquest of the Crystal Palace - Any%,641.43
Bionic Commando,Any%,Bionic Commando - Any%,294.85
Super Mario Advance 4: Super Mario Bros. 3,e-Reader levels,Super Mario Advance 4: Super Mario Bros. 3 - e-Reader levels,2312.92
Skiing,Slalom,Skiing - Slalom,26.57
Boxing,Any%,Boxing - Any%,12.8
Dragon Ball Z: Super Saiya Densetsu,best ending,Dragon Ball Z: Super Saiya Densetsu - best ending,2732.45
Crystal Caves: Volume 1 - Troubles with Twibbles,Any%,Crystal Caves: Volume 1 - Troubles with Twibbles - Any%,1233.15
Super Mario Advance 4: Super Mario Bros. 3,all levels,Super Mario Advance 4: Super Mario Bros. 3 - all levels,4342.79
Chester Cheetah: Wild Wild Quest,Any%,Chester Cheetah: Wild Wild Quest - Any%,585.69
Dragon Quest IX: Sentinels of the Starry Skies,Any%,Dragon Quest IX: Sentinels of the Starry Skies - Any%,21961.94
Dragonfire,Any%,Dragonfire - Any%,100.6
Waterworld,Any%,Waterworld - Any%,763.66
Boston Bomb Club,Any%,Boston Bomb Club - Any%,508.35
Psychic World,Any%,Psychic World - Any%,793.97
Survival Kids 2: Dasshutsu! Futago Shima!,Any%,Survival Kids 2: Dasshutsu! Futago Shima! - Any%,196.21
Elevator Action -Returns-,Any%,Elevator Action -Returns- - Any%,879.5
Mystic Towers,Any%,Mystic Towers - Any%,616.06
Duke Nukem: Episode 3 - Trapped in the Future!,Any%,Duke Nukem: Episode 3 - Trapped in the Future! - Any%,408.15
Snoopy and Peanuts,Any%,Snoopy and Peanuts - Any%,581.32
The 3-D Battles of WorldRunner,Any%,The 3-D Battles of WorldRunner - Any%,1080.64
Barbie Game Girl,Any%,Barbie Game Girl - Any%,415.42
Star Trek: 25th Anniversary,Any%,Star Trek: 25th Anniversary - Any%,813.18
Street Fighter 2010: The Final Fight,Any%,Street Fighter 2010: The Final Fight - Any%,410.22
D/Generation,Any%,D/Generation - Any%,356.63
Zoda's Revenge: StarTropics II,Any%,Zoda's Revenge: StarTropics II - Any%,3276.92
Lode Runner,Small world,Lode Runner - Small world,961.88
Lady Sia,game end glitch,Lady Sia - game end glitch,722.68
Barnstorming,Any%,Barnstorming - Any%,14.74
Toy Story,Any%,Toy Story - Any%,231.2
Survival Kids,game end glitch,Survival Kids - game end glitch,165.7
Survival Kids,Any%,Survival Kids - Any%,337.5
Keitai Denjuu Telefang 2: Speed Version,Any%,Keitai Denjuu Telefang 2: Speed Version - Any%,5125.26
Crash Bandicoot: The Huge Adventure,Any%,Crash Bandicoot: The Huge Adventure - Any%,1971.57
Discworld II: Mortality Bytes!,Any%,Discworld II: Mortality Bytes! - Any%,2376.83
Super Mario 4,Any%,Super Mario 4 - Any%,525.02
Prince of Persia,Training mode,Prince of Persia - Training mode,211.1
Hudson's Adventure Island,Any%,Hudson's Adventure Island - Any%,2145.55
Metroid,Any%,Metroid - Any%,477.38
Cacoma Knight in Bizyland,Any%,Cacoma Knight in Bizyland - Any%,332.6
Dragster,Any%,Dragster - Any%,8.39
Toki Tori,all levels,Toki Tori - all levels,3763.11
Grand Prix,Any%,Grand Prix - Any%,94.67
X-Men: The Official Game,Any%,X-Men: The Official Game - Any%,755.8
Brandish,Any%,Brandish - Any%,672.19
Aladdin,Any%,Aladdin - Any%,770.28
Super Metroid,Any%,Super Metroid - Any%,2158.31
Super Metroid,reverse boss order,Super Metroid - reverse boss order,2802.38
Super Metroid,ingame time,Super Metroid - ingame time,2355.3
Pokémon: Platinum Edition,Any%,Pokémon: Platinum Edition - Any%,134.18
Sonic the Hedgehog Pocket Adventure,Any%,Sonic the Hedgehog Pocket Adventure - Any%,799.76
10-Yard Fight,Any%,10-Yard Fight - Any%,561.13
Astérix: Search for Dogmatix,Any%,Astérix: Search for Dogmatix - Any%,935.05
Tony Hawk's Underground,Any%,Tony Hawk's Underground - Any%,2651.8
Hyper Princess Pitch,"Reallyjoel's Mom difficulty, best ending","Hyper Princess Pitch - Reallyjoel's Mom difficulty, best ending",940.48
Super Spike V'Ball,World Cup,Super Spike V'Ball - World Cup,346.15
SpongeBob SquarePants: SuperSponge,Any%,SpongeBob SquarePants: SuperSponge - Any%,1117.78
Super Mario All-Stars: Super Mario Bros. 2,Any%,Super Mario All-Stars: Super Mario Bros. 2 - Any%,436.46
Silhouette Mirage,Any%,Silhouette Mirage - Any%,1627.88
Super Smash Bros. Melee,Adventure Mode,Super Smash Bros. Melee - Adventure Mode,522.75
Super Mario Bros. 2,"warps, princess only","Super Mario Bros. 2 - warps, princess only",500.82
Gex 64: Enter the Gecko,Any%,Gex 64: Enter the Gecko - Any%,2999.93
Epic Pinball,Enigma,Epic Pinball - Enigma,96.81
Pokémon: Diamond ,glitchless,Pokémon: Diamond  - glitchless,11347.2
Touhou Kanjuden ~ Legacy of Lunatic Kingdom,"Extra Stage, maximum score","Touhou Kanjuden ~ Legacy of Lunatic Kingdom - Extra Stage, maximum score",1674.22
Teenage Mutant Ninja Turtles III: Radical Rescue,Any%,Teenage Mutant Ninja Turtles III: Radical Rescue - Any%,1101.47
Sonic Chaos,best ending,Sonic Chaos - best ending,846.72
Tiny Toon Adventures: Buster's Hidden Treasure,all levels,Tiny Toon Adventures: Buster's Hidden Treasure - all levels,1614.7
Tiny Toon Adventures: Buster's Hidden Treasure,Any%,Tiny Toon Adventures: Buster's Hidden Treasure - Any%,1162.68
R.C. Pro-Am,all gold trophies,R.C. Pro-Am - all gold trophies,2346.22
The Legend of Zelda: Majora's Mask,low%,The Legend of Zelda: Majora's Mask - low%,7141.88
Adventures of Yogi Bear,Any%,Adventures of Yogi Bear - Any%,1361.59
Pin-Bot,Any%,Pin-Bot - Any%,96.38
B.C.'s Quest for Tires,Any%,B.C.'s Quest for Tires - Any%,100.45
Newer Super Mario Bros. DS,warps,Newer Super Mario Bros. DS - warps,1564.37
Kenseiden,100%,Kenseiden - 100%,788.7
Boxxle II,Any%,Boxxle II - Any%,12367.54
Teleroboxer,Any%,Teleroboxer - Any%,338.07
Knuckles' Chaotix,Any%,Knuckles' Chaotix - Any%,2107.7
Digimon Battle Spirit,Any%,Digimon Battle Spirit - Any%,839.66
Mega Man Zero 2,Any%,Mega Man Zero 2 - Any%,2987.57
Jill of the Jungle: Volume II - Jill Goes Underground,Any%,Jill of the Jungle: Volume II - Jill Goes Underground - Any%,736.94
Nester's Funky Bowling,Any%,Nester's Funky Bowling - Any%,62.62
Keitai Denjuu Telefang: Speed Version,Any%,Keitai Denjuu Telefang: Speed Version - Any%,7154.49
Lord of the Sword,Any%,Lord of the Sword - Any%,814.82
The Ren & Stimpy Show Presents: Stimpy's Invention,Any%,The Ren & Stimpy Show Presents: Stimpy's Invention - Any%,438.13
Noddy: A Day in Toyland,Any%,Noddy: A Day in Toyland - Any%,1072.19
LEGO Star Wars II: The Original Trilogy,Any%,LEGO Star Wars II: The Original Trilogy - Any%,902.0
Kid Klown in Crazy Chase,Any%,Kid Klown in Crazy Chase - Any%,737.6
Twinkle Tale,Any%,Twinkle Tale - Any%,1053.58
Rolan's Curse II,Any%,Rolan's Curse II - Any%,1277.38
Jill of the Jungle: Volume I - Jill of the Jungle,Any%,Jill of the Jungle: Volume I - Jill of the Jungle - Any%,400.85
George Foreman's KO Boxing,Any%,George Foreman's KO Boxing - Any%,284.83
Tails' Skypatrol,Any%,Tails' Skypatrol - Any%,413.57
Porky's,Any%,Porky's - Any%,7.99
Pokémon: Pearl ,Any%,Pokémon: Pearl  - Any%,8297.97
Kenseiden,Any%,Kenseiden - Any%,325.34
Rockman 4 Minus Infinity,all items,Rockman 4 Minus Infinity - all items,2083.72
Rockman 4 Minus Infinity,Any%,Rockman 4 Minus Infinity - Any%,2092.44
Crash Bandicoot 2: Cortex Strikes Back,Any%,Crash Bandicoot 2: Cortex Strikes Back - Any%,2166.78
Jail Break,Any%,Jail Break - Any%,96.62
Crash Bandicoot: Warped,105%,Crash Bandicoot: Warped - 105%,6933.38
North & South,Any%,North & South - Any%,54.56
Rocky,Any%,Rocky - Any%,181.95
Castlevania: Portrait of Ruin,all bosses,Castlevania: Portrait of Ruin - all bosses,1449.89
Commander Keen: Episode 3 - Keen Must Die!,Any%,Commander Keen: Episode 3 - Keen Must Die! - Any%,98.49
Commander Keen: Episode 1 - Marooned on Mars,Any%,Commander Keen: Episode 1 - Marooned on Mars - Any%,220.7
Commander Keen: Episode 2 - The Earth Explodes,Any%,Commander Keen: Episode 2 - The Earth Explodes - Any%,299.79
Commander Keen: Episode 6 - Aliens Ate My Ba,Any%,Commander Keen: Episode 6 - Aliens Ate My Ba - Any%,200.25
Commander Keen: Episode 5 - The Armageddon Machine,Any%,Commander Keen: Episode 5 - The Armageddon Machine - Any%,122.46
Commander Keen: Episode 4 - Secret of the Oracle,Any%,Commander Keen: Episode 4 - Secret of the Oracle - Any%,628.28
The Flash,Any%,The Flash - Any%,525.24
Rockman Battle & Fighters: Power Fighters,Any%,Rockman Battle & Fighters: Power Fighters - Any%,825.19
McDonald's Treasure Land Adventure,Any%,McDonald's Treasure Land Adventure - Any%,1372.22
Sonic the Hedgehog 2,Any%,Sonic the Hedgehog 2 - Any%,1060.08
Mega Man V,Any%,Mega Man V - Any%,2361.26
Bio Menace: Episode 1 - Dr. Mangle's Lab,Any%,Bio Menace: Episode 1 - Dr. Mangle's Lab - Any%,556.69
Dora the Explorer: The Search for Pirate Pig's Treasure,Any%,Dora the Explorer: The Search for Pirate Pig's Treasure - Any%,1364.03
Spy Muppets: License to Croak,Any%,Spy Muppets: License to Croak - Any%,761.79
Steamgear Mash,Any%,Steamgear Mash - Any%,676.48
Psycho Fox,warpless,Psycho Fox - warpless,763.92
Psycho Fox,Any%,Psycho Fox - Any%,131.87
Castlevania: Portrait of Ruin,Richter mode,Castlevania: Portrait of Ruin - Richter mode,1017.28
Rockman Battle & Fighters: Power Battle,Any%,Rockman Battle & Fighters: Power Battle - Any%,500.89
Space Quest: Chapter I - The Sarien Encounter,Any%,Space Quest: Chapter I - The Sarien Encounter - Any%,52.04
Space Quest II: Chapter II - Vohaul's Revenge,Any%,Space Quest II: Chapter II - Vohaul's Revenge - Any%,170.45
007: Nightfire,Any%,007: Nightfire - Any%,2022.82
Porky Pig's Haunted Holiday,demo glitch,Porky Pig's Haunted Holiday - demo glitch,583.01
Porky Pig's Haunted Holiday,Any%,Porky Pig's Haunted Holiday - Any%,1410.46
Fatal La,Any%,Fatal La - Any%,406.25
Diddy Kong Racing,Any%,Diddy Kong Racing - Any%,7382.08
Game & Watch Collection: Donkey Kong,Any%,Game & Watch Collection: Donkey Kong - Any%,415.86
Master of Darkness,Any%,Master of Darkness - Any%,1072.31
El Viento,Any%,El Viento - Any%,580.6
Action Pachio,Any%,Action Pachio - Any%,1121.94
Taz in Escape from Mars,Any%,Taz in Escape from Mars - Any%,977.27
Front Line,Any%,Front Line - Any%,268.18
Go! Go! Tank,Any%,Go! Go! Tank - Any%,647.98
Raiders of the Lost Ark,Any%,Raiders of the Lost Ark - Any%,94.56
Phoenix,Any%,Phoenix - Any%,17.74
Toki: Going Ape Spit,demo glitch,Toki: Going Ape Spit - demo glitch,429.89
Toki: Going Ape Spit,Any%,Toki: Going Ape Spit - Any%,1705.37
Water Ski,Any%,Water Ski - Any%,90.72
Astérix: The Gallic War,Any%,Astérix: The Gallic War - Any%,1334.24
Zook Man ZX4,Any%,Zook Man ZX4 - Any%,1231.36
Legacy of Kain: Soul Reaver,Any%,Legacy of Kain: Soul Reaver - Any%,1274.99
Adventure,Any%,Adventure - Any%,31.56
Holy Diver,Any%,Holy Diver - Any%,866.44
Space Invaders,Any%,Space Invaders - Any%,17.29
E.T.: The Extra-Terrestrial,Any%,E.T.: The Extra-Terrestrial - Any%,25.1
Frogger,Any%,Frogger - Any%,94.62
Banjo-Kazooie,100%,Banjo-Kazooie - 100%,7191.92
Super Aladdin,Any%,Super Aladdin - Any%,336.25
Paper Mario,All Cards,Paper Mario - All Cards,9033.83
Impossible Mission,Any%,Impossible Mission - Any%,464.26
Mighty Final Fight,Any%,Mighty Final Fight - Any%,486.15
The Legend of Zelda: Ocarina of Time,"No Doors, All Dungeons","The Legend of Zelda: Ocarina of Time - No Doors, All Dungeons",8677.03
Guilty Gear Petit,Any%,Guilty Gear Petit - Any%,93.52
Track & Field,Any%,Track & Field - Any%,241.25
Metroid Prime Hunters,Any%,Metroid Prime Hunters - Any%,2830.32
Target Earth,Any%,Target Earth - Any%,1384.6
F-Zero,Queen League,F-Zero - Queen League,687.87
F-Zero,Knight League,F-Zero - Knight League,736.89
Super Mario 64: The Green Stars,all 130 stars,Super Mario 64: The Green Stars - all 130 stars,5616.25
Noddy and the Birthday Party,Any%,Noddy and the Birthday Party - Any%,453.68
Kao the Kangaroo,Any%,Kao the Kangaroo - Any%,852.3
Kung-Fu Master,Any%,Kung-Fu Master - Any%,198.44
Battletoads,game end glitch,Battletoads - game end glitch,55.66
Wolfenstein 3D,Episode 6,Wolfenstein 3D - Episode 6,225.93
Chip 'n Dale: Rescue Rangers,2 players,Chip 'n Dale: Rescue Rangers - 2 players,565.73
Muramasa: The Demon Blade,Momohime,Muramasa: The Demon Blade - Momohime,3824.55
Mega Man X6,"100%, X only","Mega Man X6 - 100%, X only",3746.79
Clock Tower,best ending,Clock Tower - best ending,713.77
Final Fantasy Tactics Advance,Any%,Final Fantasy Tactics Advance - Any%,10237.76
Mamono Hunter Youko: Dai 7 no Keishou,Any%,Mamono Hunter Youko: Dai 7 no Keishou - Any%,726.32
Sonic 3 & Knuckles,"Knuckles, 100%","Sonic 3 & Knuckles - Knuckles, 100%",2667.74
Sabrina the Teenage Witch: Potion Commotion,Any%,Sabrina the Teenage Witch: Potion Commotion - Any%,1444.71
Dr. Franken,Any%,Dr. Franken - Any%,783.27
Chip-chan Kick!,Any%,Chip-chan Kick! - Any%,698.26
Pitfall: The Mayan Adventure,Any%,Pitfall: The Mayan Adventure - Any%,632.61
Dora the Explorer: Super Spies,Any%,Dora the Explorer: Super Spies - Any%,1377.41
Platoon,Any%,Platoon - Any%,457.13
Crash 'n' the Boys: Street Challenge,best ending,Crash 'n' the Boys: Street Challenge - best ending,490.86
New Super Mario Bros.,warps,New Super Mario Bros. - warps,1223.85
New Super Mario Bros.,Any%,New Super Mario Bros. - Any%,1301.54
Ghostbusters,Any%,Ghostbusters - Any%,1004.31
Jungle Hunt,Any%,Jungle Hunt - Any%,523.33
Metal Gear Solid: VR Missions,Any%,Metal Gear Solid: VR Missions - Any%,5809.18
Metal Gear Solid: VR Missions,100%,Metal Gear Solid: VR Missions - 100%,7812.43
Clock Tower,Any%,Clock Tower - Any%,113.46
Castlevania: Legacy of Darkness,Cornell,Castlevania: Legacy of Darkness - Cornell,2900.83
Congo Bongo,Any%,Congo Bongo - Any%,29.45
The Morning Adventure,Any%,The Morning Adventure - Any%,493.02
Diamond Mine,all diamonds,Diamond Mine - all diamonds,1071.69
Super Smash Bros.,Break the Targets & Board the Platforms,Super Smash Bros. - Break the Targets & Board the Platforms,485.92
The Black Onyx,Any%,The Black Onyx - Any%,41.17
Drag Race,Any%,Drag Race - Any%,60.67
Crash Bandicoot: Warped,"item glitch, gate clip","Crash Bandicoot: Warped - item glitch, gate clip",344.49
Crash Bandicoot: Warped,item glitch,Crash Bandicoot: Warped - item glitch,1107.42
Crash Bandicoot: Warped,Any%,Crash Bandicoot: Warped - Any%,2340.52
DAIVA Story 6: Nirsartia no Gyokuza,best ending,DAIVA Story 6: Nirsartia no Gyokuza - best ending,2213.04
Drill Dozer,Any%,Drill Dozer - Any%,6602.03
Super Glove Ball,Any%,Super Glove Ball - Any%,128.24
Land of Illusion: Starring Mickey Mouse,Any%,Land of Illusion: Starring Mickey Mouse - Any%,1368.28
Tryrush Deppy,Any%,Tryrush Deppy - Any%,1301.9
Karate Champ: Player Vs Player,Any%,Karate Champ: Player Vs Player - Any%,1237.82
Fortified Zone,Any%,Fortified Zone - Any%,539.32
Super Mario World 64,Any%,Super Mario World 64 - Any%,437.51
Argos no Juujiken,Any%,Argos no Juujiken - Any%,782.64
Boxxle,Any%,Boxxle - Any%,17930.2
F-Zero,first track,F-Zero - first track,142.03
Joyrider,Any%,Joyrider - Any%,100.07
Sabre Wulf,Any%,Sabre Wulf - Any%,3238.27
B.C. Dash,Any%,B.C. Dash - Any%,69.75
Super 3D Portals 6,Any%,Super 3D Portals 6 - Any%,2.12
Castlevania: Harmony of Dissonance,"all furniture, best ending","Castlevania: Harmony of Dissonance - all furniture, best ending",825.57
Castlevania: Harmony of Dissonance,in bounds,Castlevania: Harmony of Dissonance - in bounds,1707.17
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,game end glitch,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005 - game end glitch,35.06
Wizardry V: Heart of the Maelstrom,save glitch,Wizardry V: Heart of the Maelstrom - save glitch,23.01
Wizardry V: Heart of the Maelstrom,game end glitch,Wizardry V: Heart of the Maelstrom - game end glitch,62.85
Cyborg Hunter,Any%,Cyborg Hunter - Any%,553.71
Yume Nikki,Any%,Yume Nikki - Any%,600.37
Final Zone II,Any%,Final Zone II - Any%,487.11
Castlevania: The Adventure ReBirth,Any%,Castlevania: The Adventure ReBirth - Any%,1109.4
The Legend of Zelda: Ocarina of Time,"All Dungeons, Temples & Ganon Trials","The Legend of Zelda: Ocarina of Time - All Dungeons, Temples & Ganon Trials",6149.53
The Legend of Zelda: Ocarina of Time,"all dungeons, temples & Ganon trials","The Legend of Zelda: Ocarina of Time - all dungeons, temples & Ganon trials",7485.22
The Legend of Zelda: Ocarina of Time,"All Dungeons, Temples, & Ganon Trials","The Legend of Zelda: Ocarina of Time - All Dungeons, Temples, & Ganon Trials",10279.1
Sonic Blast,Any%,Sonic Blast - Any%,690.96
Alfred Chicken,Any%,Alfred Chicken - Any%,692.04
Bomberman Quest,game end glitch,Bomberman Quest - game end glitch,395.66
Batman: The Caped Crusader,The Penguin: A Bird in the Hand,Batman: The Caped Crusader - The Penguin: A Bird in the Hand,441.84
Super Mario All-Stars: The Lost Levels,"warpless, Mario","Super Mario All-Stars: The Lost Levels - warpless, Mario",2076.61
Generations Lost,Any%,Generations Lost - Any%,465.53
Quartet,Any%,Quartet - Any%,264.81
Contra: The Alien Wars,Any%,Contra: The Alien Wars - Any%,457.75
Kung Fu Kid,Any%,Kung Fu Kid - Any%,483.44
Harry Potter and the Chamber of Secrets,Any%,Harry Potter and the Chamber of Secrets - Any%,4129.74
Adventures of Lolo 2,Pro Levels,Adventures of Lolo 2 - Pro Levels,120.0
Golf,Any%,Golf - Any%,298.49
Cars,Any%,Cars - Any%,2191.69
Fighters Destiny,Any%,Fighters Destiny - Any%,102.18
One Piece Mansion,Any%,One Piece Mansion - Any%,284.45
Choplifter,Any%,Choplifter - Any%,153.1
Karate Champ,Any%,Karate Champ - Any%,547.65
Castlevania: Portrait of Ruin,Any%,Castlevania: Portrait of Ruin - Any%,244.59
Super Adventure Island II,Any%,Super Adventure Island II - Any%,2477.22
Madou King Granzort,Any%,Madou King Granzort - Any%,475.91
Shin Nekketsu Kouha: Kunio-tachi no Banka,2 players,Shin Nekketsu Kouha: Kunio-tachi no Banka - 2 players,2441.98
Dragon Crystal,Any%,Dragon Crystal - Any%,49.1
Valis: The Fantasm Soldier,Any%,Valis: The Fantasm Soldier - Any%,707.68
Sonic 3 & Knuckles,Knuckles,Sonic 3 & Knuckles - Knuckles,1327.68
Sonic & Knuckles,Knuckles,Sonic & Knuckles - Knuckles,692.46
Disney's DuckTales,Any%,Disney's DuckTales - Any%,529.62
Adventures of Lolo 2,Pro levels,Adventures of Lolo 2 - Pro levels,124.72
Harry Potter And The Sorcerer's Stone,Any%,Harry Potter And The Sorcerer's Stone - Any%,4488.67
Sonic Advance 3,100%,Sonic Advance 3 - 100%,4071.89
Castlevania II: Simon's Quest,Any%,Castlevania II: Simon's Quest - Any%,1691.12
Popeye 2,Any%,Popeye 2 - Any%,651.04
Ninja Kid,Any%,Ninja Kid - Any%,253.25
Sonic Advance,Any%,Sonic Advance - Any%,649.73
Push-Over,Any%,Push-Over - Any%,4438.51
GoldenEye: 007,007 Classic difficulty,GoldenEye: 007 - 007 Classic difficulty,6095.67
Double Dragon III: The Sacred Stones,Any%,Double Dragon III: The Sacred Stones - Any%,603.77
SOS,Any%,SOS - Any%,282.08
Scrapyard Dog,Any%,Scrapyard Dog - Any%,664.14
Chakan: The Forever Man,Any%,Chakan: The Forever Man - Any%,642.38
Batman Returns,Any%,Batman Returns - Any%,570.03
Circus Charlie,Any%,Circus Charlie - Any%,203.51
Mega Man Zero,all missions,Mega Man Zero - all missions,2023.26
Mega Man Zero,all stages,Mega Man Zero - all stages,2049.83
Little Magic,Any%,Little Magic - Any%,2585.08
Raid on Bungeling Bay,Any%,Raid on Bungeling Bay - Any%,164.75
Arm Wrestling,Any%,Arm Wrestling - Any%,463.37
The Final Fantasy Legend,Any%,The Final Fantasy Legend - Any%,70.87
Circus Caper,Any%,Circus Caper - Any%,423.75
Wolfenstein 3D,Episode 5,Wolfenstein 3D - Episode 5,112.67
Kid Niki: Radical Ninja,Any%,Kid Niki: Radical Ninja - Any%,584.39
Double Dare,Any%,Double Dare - Any%,376.81
Golden Axe Warrior,Any%,Golden Axe Warrior - Any%,1849.1
Super Punch-Out!!,Any%,Super Punch-Out!! - Any%,197.42
Boulder Dash,Any%,Boulder Dash - Any%,1111.82
Final Fantasy VI,game end glitch,Final Fantasy VI - game end glitch,1473.26
Final Fantasy VI,sketch glitch,Final Fantasy VI - sketch glitch,11499.46
TOCA Touring Car Championship,max points,TOCA Touring Car Championship - max points,38238.72
Sylvester and Tweety in Cagey Capers,Any%,Sylvester and Tweety in Cagey Capers - Any%,316.22
Judge Dredd,Any%,Judge Dredd - Any%,1277.8
Wacky Races,Any%,Wacky Races - Any%,1094.51
Journey to Silius,Any%,Journey to Silius - Any%,529.86
Disney's Extreme Skate Adventure,Any%,Disney's Extreme Skate Adventure - Any%,809.18
James Pond 3: Operation Starfish,Any%,James Pond 3: Operation Starfish - Any%,1748.33
James Pond 3: Operation Starfish,best ending,James Pond 3: Operation Starfish - best ending,2030.62
Spyro: Enter The Dragonfly,Any%,Spyro: Enter The Dragonfly - Any%,148.68
Disney's Aladdin,capeless,Disney's Aladdin - capeless,996.77
Resident Evil 2,Leon A,Resident Evil 2 - Leon A,2563.43
Yu-Gi-Oh! Forbidden Memories,Any%,Yu-Gi-Oh! Forbidden Memories - Any%,2432.2
Short Order,Any%,Short Order - Any%,5028.27
Rayman,Any%,Rayman - Any%,3798.69
Super Mario 64 DS,Any%,Super Mario 64 DS - Any%,492.93
Town & Country Surf Designs II: Thrilla's Surfari,Any%,Town & Country Surf Designs II: Thrilla's Surfari - Any%,757.02
Nitemare 3D,Episode 1,Nitemare 3D - Episode 1,378.33
The Quest of Ki,warps,The Quest of Ki - warps,147.51
Castlevania III: Dracula's Curse,Sypha path,Castlevania III: Dracula's Curse - Sypha path,1591.88
Skooter,Any%,Skooter - Any%,341.42
Pokémon: Yellow ,arbitrary code execution,Pokémon: Yellow  - arbitrary code execution,348.28
Castlevania III: Dracula's Curse,Alucard path,Castlevania III: Dracula's Curse - Alucard path,1487.73
The Little Mermaid,Any%,The Little Mermaid - Any%,402.23
Fantasia,Any%,Fantasia - Any%,567.18
Wonder Boy in Monster Land,Any%,Wonder Boy in Monster Land - Any%,554.2
Osman,Any%,Osman - Any%,396.77
Super Mario Bros. 2,"warps, Mario","Super Mario Bros. 2 - warps, Mario",484.83
Cobra Triangle,Any%,Cobra Triangle - Any%,1003.73
Crack Down,1 player,Crack Down - 1 player,554.18
Crack Down,2 players,Crack Down - 2 players,577.16
Urban Champion,Any%,Urban Champion - Any%,26.84
Metal Slug 3,Any%,Metal Slug 3 - Any%,1467.8
The Lucky Dime Caper Starring Donald Duck,Any%,The Lucky Dime Caper Starring Donald Duck - Any%,683.0
Knuckles in Sonic the Hedgehog 2,ring attack,Knuckles in Sonic the Hedgehog 2 - ring attack,2701.63
Knuckles in Sonic the Hedgehog 2,Any%,Knuckles in Sonic the Hedgehog 2 - Any%,1061.85
Rayman Origins,Any%,Rayman Origins - Any%,2731.3
Final Doom,The Plutonia Experiment,Final Doom - The Plutonia Experiment,773.28
The Goonies II,Any%,The Goonies II - Any%,653.64
Risky Woods,Any%,Risky Woods - Any%,637.8
The Battle of Olympus,Any%,The Battle of Olympus - Any%,595.37
Alex Kidd in Shinobi World,Any%,Alex Kidd in Shinobi World - Any%,327.84
Alex Kidd: The Lost Stars,Any%,Alex Kidd: The Lost Stars - Any%,1217.28
Hudson's Adventure Island IV,Any%,Hudson's Adventure Island IV - Any%,979.22
The Great Giana Sisters,Any%,The Great Giana Sisters - Any%,611.52
Quackshot: Starring Donald Duck,Any%,Quackshot: Starring Donald Duck - Any%,1161.63
Punch-Out!!,Any%,Punch-Out!! - Any%,206.15
Fire Emblem: Shadow Dragon,Any%,Fire Emblem: Shadow Dragon - Any%,527.83
Mega Man IV,Any%,Mega Man IV - Any%,2095.45
Kir,game end glitch,Kir - game end glitch,35.76
Warcraft II: The Dark Saga,Human Expansion,Warcraft II: The Dark Saga - Human Expansion,3678.35
Town & Country Surf Designs: Wood & Water Rage,Any%,Town & Country Surf Designs: Wood & Water Rage - Any%,543.92
3 Ninjas Kick Back,Any%,3 Ninjas Kick Back - Any%,657.3
Attack of the Killer Tomatoes,Any%,Attack of the Killer Tomatoes - Any%,362.02
The Goonies II,100%,The Goonies II - 100%,1186.36
Wai Wai World,Any%,Wai Wai World - Any%,1743.28
Vice: Project Doom,Any%,Vice: Project Doom - Any%,726.34
Kiki KaiKai,Any%,Kiki KaiKai - Any%,348.62
The Goonies,Any%,The Goonies - Any%,147.91
Normy's Beach Babe-o-Rama,Any%,Normy's Beach Babe-o-Rama - Any%,620.73
Lucky Luke,100%,Lucky Luke - 100%,1855.11
Scoo,Any%,Scoo - Any%,2833.42
Faxanadu,Any%,Faxanadu - Any%,1384.69
We're Back! - A Dinosaur's Story,Any%,We're Back! - A Dinosaur's Story - Any%,1007.44
Mega Man Legends 2,Any%,Mega Man Legends 2 - Any%,4734.45
